,zeros,ones,nonbinaries
702,158,142,0
703,157,143,0
704,151,149,0
705,161,139,0
706,164,136,0
707,165,135,0
708,153,147,0
709,156,144,0
710,150,150,0
711,139,161,0
712,146,154,0
713,135,165,0
714,153,147,0
715,143,157,0
716,149,151,0
717,162,138,0
718,139,161,0
719,147,153,0
720,154,146,0
721,153,147,0
722,147,153,0
723,156,144,0
724,144,156,0
725,164,136,0
726,145,155,0
727,156,144,0
728,171,129,0
729,157,143,0
730,156,144,0
731,149,151,0
732,160,140,0
733,154,146,0
734,134,166,0
735,161,139,0
736,150,150,0
737,149,151,0
738,142,158,0
739,160,140,0
740,154,146,0
741,150,150,0
742,159,141,0
743,152,148,0
744,158,141,1
745,151,149,0
746,156,144,0
747,151,149,0
748,149,151,0
749,146,154,0
750,149,151,0
751,159,141,0
752,150,150,0
753,137,163,0
754,152,148,0
755,155,145,0
756,143,157,0
757,134,166,0
758,150,150,0
759,172,128,0
760,152,148,0
761,149,151,0
762,140,160,0
763,155,145,0
764,170,130,0
765,145,155,0
766,140,160,0
767,147,153,0
768,146,154,0
769,146,154,0
770,153,147,0
771,156,144,0
772,145,155,0
773,153,147,0
774,157,143,0
775,136,164,0
776,156,144,0
777,138,162,0
778,156,144,0
779,123,177,0
780,143,157,0
781,135,165,0
782,146,154,0
783,157,143,0
784,143,157,0
785,158,142,0
786,164,136,0
787,156,144,0
788,134,166,0
789,165,135,0
790,144,156,0
791,149,151,0
792,136,164,0
793,156,144,0
794,156,144,0
795,139,161,0
796,127,173,0
797,158,142,0
798,145,155,0
799,152,148,0
800,140,160,0
801,146,154,0
802,147,153,0
803,142,158,0
804,147,153,0
805,152,148,0
806,144,156,0
807,158,142,0
808,155,145,0
809,170,130,0
810,161,139,0
811,163,137,0
812,143,157,0
813,152,148,0
814,152,148,0
815,157,143,0
816,156,144,0
817,154,146,0
818,143,157,0
819,161,139,0
820,152,148,0
821,143,157,0
822,146,154,0
823,155,145,0
824,146,154,0
825,128,172,0
826,158,142,0
827,161,139,0
828,140,160,0
829,165,135,0
830,157,143,0
831,150,150,0
832,138,162,0
833,166,134,0
834,145,155,0
835,130,170,0
836,148,152,0
837,154,146,0
838,144,156,0
839,147,153,0
840,145,155,0
841,162,138,0
842,148,152,0
843,148,152,0
844,153,147,0
845,168,132,0
846,150,150,0
847,138,162,0
848,140,160,0
849,160,140,0
850,148,152,0
851,124,176,0
852,134,166,0
853,131,169,0
854,152,148,0
855,153,147,0
856,144,156,0
857,154,146,0
858,161,139,0
859,143,157,0
860,153,147,0
861,141,159,0
862,148,152,0
863,151,149,0
864,151,149,0
865,145,155,0
866,165,135,0
867,153,147,0
868,157,143,0
869,146,154,0
870,143,157,0
871,151,149,0
872,138,162,0
873,147,153,0
874,157,143,0
875,142,158,0
876,132,168,0
877,167,133,0
878,138,162,0
879,147,153,0
880,154,146,0
881,158,142,0
882,148,152,0
883,149,151,0
884,149,151,0
885,151,149,0
886,144,156,0
887,162,138,0
888,154,146,0
889,143,157,0
890,167,133,0
891,154,146,0
892,163,137,0
893,136,164,0
894,169,131,0
895,156,144,0
896,141,159,0
897,156,144,0
898,152,148,0
899,150,150,0
900,156,144,0
901,154,146,0
902,144,156,0
903,146,154,0
904,144,156,0
905,140,160,0
906,135,165,0
907,149,151,0
908,142,158,0
909,153,147,0
910,154,146,0
911,144,156,0
912,150,150,0
913,144,156,0
914,158,142,0
915,141,159,0
916,164,136,0
917,153,147,0
918,138,162,0
919,131,169,0
920,157,143,0
921,134,166,0
922,148,152,0
923,141,159,0
924,158,142,0
925,123,177,0
926,156,144,0
927,169,131,0
928,141,159,0
929,160,140,0
930,165,135,0
931,146,154,0
932,160,140,0
933,152,148,0
934,146,154,0
935,147,153,0
936,138,162,0
937,143,157,0
938,137,163,0
939,152,148,0
940,157,143,0
941,155,145,0
942,144,156,0
943,147,153,0
944,142,158,0
945,144,156,0
946,144,156,0
947,155,145,0
948,135,165,0
949,141,159,0
950,158,142,0
951,143,157,0
952,137,163,0
953,151,149,0
954,149,151,0
955,150,150,0
956,149,151,0
957,153,147,0
958,151,149,0
959,164,136,0
960,152,148,0
961,137,163,0
962,145,155,0
963,160,140,0
964,159,141,0
965,158,142,0
966,139,161,0
967,138,162,0
968,144,156,0
969,157,143,0
970,161,139,0
971,148,152,0
972,155,145,0
973,158,142,0
974,152,148,0
975,148,152,0
976,153,147,0
977,153,147,0
978,154,146,0
979,152,148,0
980,130,170,0
981,160,140,0
982,149,151,0
983,151,149,0
984,158,142,0
985,145,155,0
986,151,149,0
987,137,163,0
988,147,153,0
989,150,150,0
990,144,156,0
991,155,145,0
992,150,150,0
993,136,164,0
994,146,154,0
995,154,146,0
996,154,146,0
997,146,154,0
998,162,138,0
999,153,147,0
